      Address        Name         Hex         Decimal                       Binary                       Char  
0000              WREG0     0x0000        0             00000000 00000000                             '..'     
0002              WREG1     0x0000        0             00000000 00000000                             '..'     
0004              WREG2     0x0000        0             00000000 00000000                             '..'     
0006              WREG3     0x0000        0             00000000 00000000                             '..'     
0008              WREG4     0x0000        0             00000000 00000000                             '..'     
000A              WREG5     0x0000        0             00000000 00000000                             '..'     
000C              WREG6     0x0000        0             00000000 00000000                             '..'     
000E              WREG7     0x0000        0             00000000 00000000                             '..'     
0010              WREG8     0x0000        0             00000000 00000000                             '..'     
0012              WREG9     0x0000        0             00000000 00000000                             '..'     
0014              WREG10    0x0000        0             00000000 00000000                             '..'     
0016              WREG11    0x0000        0             00000000 00000000                             '..'     
0018              WREG12    0x0000        0             00000000 00000000                             '..'     
001A              WREG13    0x0000        0             00000000 00000000                             '..'     
001C              WREG14    0x0000        0             00000000 00000000                             '..'     
001E              WREG15    0x0800        2048          00001000 00000000                             '..'     
0020              SPLIM     0x0000        0             00000000 00000000                             '..'     
002E              PC        0x000000      0             00000000 00000000 00000000                    '...'    
002E              PCL       0x0000        0             00000000 00000000                             '..'     
0030              PCH       0x0000        0             00000000 00000000                             '..'     
0032              TBLPAG    0x0000        0             00000000 00000000                             '..'     
0034              PSVPAG    0x0000        0             00000000 00000000                             '..'     
0036              RCOUNT    0x0000        0             00000000 00000000                             '..'     
0042              SR        0x0000        0             00000000 00000000                             '..'     
0044              CORCON    0x0000        0             00000000 00000000                             '..'     
0052              DISICNT   0x0000        0             00000000 00000000                             '..'     
0054              CNPD1     0x0000        0             00000000 00000000                             '..'     
0056              CNPD2     0x0000        0             00000000 00000000                             '..'     
0058              CNPD3     0x0000        0             00000000 00000000                             '..'     
005A              CNPD4     0x0000        0             00000000 00000000                             '..'     
005C              CNPD5     0x0000        0             00000000 00000000                             '..'     
0060              CNEN1     0x0000        0             00000000 00000000                             '..'     
0062              CNEN2     0x0000        0             00000000 00000000                             '..'     
0064              CNEN3     0x0000        0             00000000 00000000                             '..'     
0066              CNEN4     0x0000        0             00000000 00000000                             '..'     
0068              CNEN5     0x0000        0             00000000 00000000                             '..'     
006C              CNPU1     0x0000        0             00000000 00000000                             '..'     
006E              CNPU2     0x0000        0             00000000 00000000                             '..'     
0070              CNPU3     0x0000        0             00000000 00000000                             '..'     
0072              CNPU4     0x0000        0             00000000 00000000                             '..'     
0074              CNPU5     0x0000        0             00000000 00000000                             '..'     
0080              INTCON1   0x0000        0             00000000 00000000                             '..'     
